,(83:r:73:65),(83:r:73:66),(83:r:73:67),(83:r:73:68),(83:r:73:69),(83:r:73:70),(83:r:74:64),(83:r:74:65),(83:r:74:66),(83:r:74:67),(83:r:74:68),(83:r:74:69),(83:r:74:70),(83:r:74:71),(83:r:75:64),(83:r:75:65),(83:r:75:66),(83:r:75:67),(83:r:75:68),(83:r:75:69),(83:r:75:70),(83:r:75:71),(83:r:76:63),(83:r:76:64),(83:r:76:65),(83:r:76:66),(83:r:76:67),(83:r:76:68),(83:r:76:69),(83:r:76:70),(83:r:76:71),(83:r:77:63),(83:r:77:64),(83:r:77:65),(83:r:77:66),(83:r:77:67),(83:r:77:68),(83:r:77:69),(83:r:77:70),(83:r:77:71),(83:r:78:62),(83:r:78:63),(83:r:78:64),(83:r:78:65),(83:r:78:66),(83:r:78:67),(83:r:78:68),(83:r:78:69),(83:r:78:70),(83:r:78:71),(83:r:79:61),(83:r:79:62),(83:r:79:63),(83:r:79:64),(83:r:79:65),(83:r:79:66),(83:r:79:67),(83:r:79:68),(83:r:79:69),(83:r:79:70),(83:r:79:71),(83:r:80:60),(83:r:80:61),(83:r:80:62),(83:r:80:63),(83:r:80:64),(83:r:80:65),(83:r:80:66),(83:r:80:67),(83:r:80:68),(83:r:80:69),(83:r:80:70),(83:r:80:71),(83:r:81:59),(83:r:81:60),(83:r:81:61),(83:r:81:62),(83:r:81:63),(83:r:81:64),(83:r:81:65),(83:r:81:66),(83:r:81:67),(83:r:81:68),(83:r:81:69),(83:r:81:70),(83:r:82:58),(83:r:82:59),(83:r:82:60),(83:r:82:61),(83:r:82:62),(83:r:82:63),(83:r:82:64),(83:r:82:65),(83:r:82:66),(83:r:82:67),(83:r:82:68),(83:r:82:69),(83:r:82:70),(83:r:83:58),(83:r:83:59),(83:r:83:60),(83:r:83:61),(83:r:83:62),(83:r:83:63),(83:r:83:64),(83:r:83:65),(83:r:83:66),(83:r:83:67),(83:r:83:68),(83:r:83:69),(83:r:84:57),(83:r:84:58),(83:r:84:59),(83:r:84:60),(83:r:84:61),(83:r:84:62),(83:r:84:63),(83:r:84:64),(83:r:84:65),(83:r:84:66),(83:r:84:67),(83:r:84:68),(83:r:85:57),(83:r:85:58),(83:r:85:59),(83:r:85:60),(83:r:85:61),(83:r:85:62),(83:r:85:63),(83:r:85:64),(83:r:85:65),(83:r:85:66),(83:r:85:67),(83:r:86:57),(83:r:86:58),(83:r:86:59),(83:r:86:60),(83:r:86:61),(83:r:86:62),(83:r:86:63),(83:r:86:64),(83:r:86:65),(83:r:87:57),(83:r:87:58),(83:r:87:59),(83:r:87:60),(83:r:87:61),(83:r:87:62),(83:r:87:63),(83:r:87:64),(83:r:88:57),(83:r:88:58),(83:r:88:59),(83:r:88:60),(83:r:88:61)
ACBc,,0.080907029,0.233922902,0.168707483,0.00399093,0.001632653,0.003718821,0.309387755,0.821043084,0.581768707,0.178684807,0.003628118,0.000181406,,0.226848073,0.685986395,0.467664399,0.104671202,0.001360544,,,,0.001360544,0.169342404,0.22893424,0.07446712,0.00952381,,,,,0.014421769,0.012154195,0.006258503,0.001088435,,,,,,,0.005714286,0.000181406,,,,,,,,,9.07E-05,,,,,,,,,,,0.000272109,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,,9.07E-05,,0.000272109,,,,,,,,,,,,,,,
ACBsh.l,,0.045351474,0.093877551,0.090612245,0.011972789,0.000362812,0.006984127,0.258956916,0.36861678,0.380680272,0.285260771,0.013151927,0.01260771,,0.255419501,0.474195011,0.45324263,0.182857143,0.076190476,0.00861678,,,0.010249433,0.61106576,0.493696145,0.314285714,0.151201814,0.045170068,,,,0.32952381,0.687891156,0.303038549,0.202176871,0.186303855,0.031020408,0.003537415,,,0.118276644,0.537142857,0.326712018,0.154829932,0.038548753,0.003174603,0.013786848,0.002267574,,,0.061315193,0.379229025,0.347573696,0.192290249,0.079092971,0.049614512,,0.004081633,,,,0.009433107,0.227664399,0.209251701,0.156371882,0.06430839,0.005714286,0.002086168,,,,,,,0.017959184,0.064852608,0.041814059,0.018956916,0.024489796,0.00861678,,,,,,,,0.000272109,0.01324263,,0.016870748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBsh.m,0.000362812,0.117823129,0.233197279,0.165895692,0.014693878,0.002811791,0.003174603,0.390294785,0.739773243,0.582675737,0.149387755,0.003718821,0.001360544,,0.153650794,0.54185941,0.580045351,0.277097506,0.027936508,,,,,0.18521542,0.251791383,0.105668934,0.018412698,,,,,0.008707483,0.043174603,0.028208617,0.005804989,0.001451247,,,,,,0.000997732,0.001269841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPext.rv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005442177,0.012244898,0.001451247,,,,,,,,,,,0.007256236,0.010521542,0.002539683,0.005351474,,,,,,,,0.001088435,0.006530612,0.009614512,0.012970522,0.023945578,,,,,,,,0.000272109,0.002993197,0.000997732,0.012335601,0.019410431,0.010702948,,,,,,,0.005714286,0.003628118,,,0.023673469,0.038095238,0.002993197,0.001995465,,,,,0.07446712,0.136780045,0.07537415,0.10585034,0.030113379,0.019954649,,0.003809524,,,,0.275736961,0.359365079,0.369795918,0.197913832,0.035736961,0.004716553,0.010249433,0.000997732,,0.331156463,0.74430839,0.58185941,0.165170068,0.086077098,0.001269841,0.006802721,,0.000725624,0.034195011,0.091519274,0.015510204,
CPc.d.dl,,,,0.002267574,,,,,,0.01260771,0.00244898,,,,,,,0.001360544,0.004081633,,,0.000362812,,,,,0.00553288,0.020045351,0.03845805,,,,,0.005804989,0.06031746,0.048979592,0.128435374,0.039274376,0.005079365,0.010975057,,,,0.01414966,0.024761905,0.071473923,0.169614512,0.200725624,0.210430839,0.026213152,,,,0.011519274,0.033741497,0.177868481,0.164444444,0.145396825,0.357097506,0.226031746,0.007165533,,,,0.000181406,0.013968254,0.073741497,0.143764172,0.179501134,0.229659864,0.227936508,0.141043084,,,,,,0.019863946,0.041179138,0.047165533,0.336507937,0.154013605,0.331428571,0.199546485,0.012063492,,,,,,,0.00952381,0.281995465,0.435918367,0.344671202,0.126893424,0.127437642,0.000816327,,,,,,,0.035011338,0.475736961,0.251337868,0.174512472,0.054240363,0.01569161,,,,,0.002993197,0.002086168,0.013786848,0.139229025,0.35446712,0.170612245,0.136870748,0.006984127,,,,,0.006802721,0.027573696,0.061043084,0.198548753,0.266213152,0.107573696,,,0.01814059,0.023582766,0.040907029,0.009433107,0.053968254,0.141405896,0.115555556,0.009977324,0.001995465,0.005351474,0.029115646,0.046530612,0.036734694,0.088072562,0.070566893,,,,,0.002721088,
CPc.d.dm,,,,,,,,,0.007437642,0.015328798,0.002358277,0.002539683,0.001451247,,0.001632653,0.000907029,0.018231293,0.064036281,0.045260771,0.069931973,0.026938776,,,0.003265306,0.004172336,0.023310658,0.029297052,0.068480726,0.115102041,0.100045351,0.017505669,0.002811791,0.002721088,0.004444444,0.047981859,0.070929705,0.120997732,0.25723356,0.410975057,0.144036281,,0.001179138,0.002176871,0.031201814,0.227936508,0.30122449,0.456780045,0.362358277,0.506848073,0.096417234,,,,0.009251701,0.125623583,0.287165533,0.407165533,0.610521542,0.70893424,0.500680272,0.043900227,,,,,,0.017596372,0.22984127,0.396462585,0.65015873,0.665396825,0.271020408,0.001088435,,,,,,,0.001904762,0.283265306,0.6030839,0.623492063,0.486439909,0.057414966,,,,0.000181406,,,,0.002358277,0.109024943,0.671201814,0.51845805,0.185124717,0.001995465,,,,,,,0.001723356,0.016870748,0.248163265,0.592290249,0.184761905,0.002630385,,,,,,,0.003537415,0.023764172,0.124716553,0.459138322,0.41015873,0.00707483,,,,,0.003809524,0.003809524,0.02829932,0.181405896,0.382131519,0.304489796,0.015782313,,,,,0.001995465,0.013605442,0.143945578,0.169886621,0.071564626,,,0.000272109,,0.015056689,0.036553288,0.017142857,,,,,,
CPc.d.vm,,,,,,,,,0.003718821,,,,,,,,0.03138322,,0.010612245,0.004172336,0.011791383,,,0.006893424,0.001360544,0.007981859,0.026666667,0.022494331,0.062947846,0.025668934,0.006984127,,0.044353741,0.032471655,0.038911565,0.067845805,0.048707483,0.10185941,0.061950113,0.004988662,,,0.049705215,0.06829932,0.076281179,0.068480726,0.057868481,0.052517007,0.029569161,0.008344671,,0.004444444,0.005170068,0.130612245,0.210430839,0.143401361,0.13877551,0.069931973,0.05877551,0.018594104,0.00553288,,9.07E-05,0.012335601,0.042630385,0.130249433,0.252970522,0.281269841,0.184761905,0.068208617,0.033741497,0.054421769,,,,0.018956916,,0.012244898,0.18984127,0.354557823,0.308662132,0.163537415,0.067664399,0.090521542,0.045714286,,9.07E-05,,,9.07E-05,0.005804989,0.266122449,0.478367347,0.367891156,0.111201814,0.080181406,0.093786848,0.0061678,,0.007800454,,9.07E-05,,0.04462585,0.216598639,0.567437642,0.329614512,0.228027211,0.172154195,0.026303855,,,,0.005260771,0.012335601,0.035464853,0.092970522,0.437188209,0.429297052,0.372244898,0.178684807,0.04399093,0.009795918,0.008526077,0.019591837,0.04553288,0.058321995,0.160090703,0.505306122,0.654240363,0.323809524,0.182494331,0.012517007,0.043718821,0.039455782,0.026031746,0.171519274,0.255238095,0.700045351,0.650430839,0.398730159,0.088163265,0.005895692,0.060408163,0.21478458,0.361179138,0.505668934,0.409342404,0.159546485,0.002358277,,0.002902494,0.022494331,0.011428571,
CPext.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001179138,,,,,,,,,,0.017505669,0.021587302,,,,,,,,,0.005714286,0.055600907,0.030929705,0.02739229,0.016961451,0.046077098,,,,,,,,0.010793651,0.096870748,0.005351474,,0.041723356,0.01569161,,,,,,,,,0.050068027,0.016417234,0.037097506,0.037097506,0.042902494,0.016961451,0.000997732,,,,0.006077098,0.002811791,,0.029297052,0.002993197,0.036553288,0.185124717,0.127437642,0.007800454,0.001632653,,,0.023129252,0.019229025,,,,0.014603175,0.19446712,0.090430839,0.005351474,0.0061678,,,0.005986395,,,0.003718821,,0.204897959,0.319909297,0.080816327,0.012879819,0.000544218,0.012154195,0.0030839,0.003174603,0.027664399,0.028480726,0.175600907,0.46276644,0.166712018,0.099229025,0.000181406,0.118639456,0.173786848,0.118911565,0.208798186,0.496145125,0.252970522,0.033741497,,0.000272109,0.048707483,0.049433107,0.074376417,0.000816327
CPext.cv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,9.07E-05,,,,,,,,0.013061224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002086168,0.001632653,,,,,,,,,,,,,0.00861678,,,,9.07E-05,,,0.004988662,0.003265306,,,,0.007528345,,,,,0.033741497,0.013514739,,0.001179138,0.001451247,,0.001269841,0.000907029,0.003356009,0.142131519,0.171519274,0.056507937,0.042630385,0.018956916,,,,0.000453515,0.025396825,0.051156463,0.006802721,
CPc.i.d,,0.000725624,,,,,,,,,,,0.000816327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004172336,0.00553288,0.000997732,0.005351474,,0.008253968,0.003809524,,,,,0.002811791,0.061315193,0.036371882,0.019591837,0.01968254,0.015782313,0.028571429,,,,,,,0.033015873,0.217052154,0.007256236,0.020136054,0.005804989,0.011882086,9.07E-05,,,,,,0.00952381,0.183038549,0.320272109,0.088163265,0.012517007,0.002721088,0.001814059,,,,,,0.026575964,0.031111111,0.373424036,0.313287982,0.020861678,0.054875283,0.000181406,,,,,0.013151927,,0.012154195,0.102947846,0.623492063,0.255600907,0.049977324,0.006530612,0.012879819,,0.016598639,0.003265306,0.010975057,0.068662132,0.290430839,0.687256236,0.51600907,0.127346939,0.030566893,,,0.015510204,0.04553288,0.101496599,0.401904762,0.594376417,0.532426304,0.174331066,,0.011882086,0.016235828,0.134512472,0.145487528,0.181496599,0.095147392,0.036099773,,,,0.012426304,0.017868481,
CPc.i.vl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000544218,0.019410431,,,,,,,,,0.005079365,0.000272109,0.028752834,0.032562358,,,0.00553288,,,,0.001179138,,,0.000272109,0.022040816,0.054512472,0.177777778,0.019501134,0.002993197,,0.003809524,,,,,0.002811791,0.009614512,0.095419501,0.163446712,0.089705215,0.080725624,0.007619048,0.017959184,0.0030839,0.016145125,,,0.016235828,0.012244898,0.046439909,0.185306122,0.55047619,0.302857143,0.171791383,0.010430839,0.004081633,,,,,0.002993197,0.018231293,0.116099773,0.327528345,0.726984127,0.138684807,0.039546485,0.008798186,,0.000272109,,0.000907029,0.027755102,0.229659864,0.585396825,0.830929705,0.397732426,0.046802721,0.003356009,,,,0.078367347,0.24154195,0.615419501,0.762811791,0.405079365,0.052879819,0.000362812,0.001088435,,0.016780045,0.136054422,0.300680272,0.188843537,0.069750567,0.010249433,0.003718821,,,0.003174603,0.007346939,0.001451247,
CPc.i.vm,,,,,0.000634921,,0.000997732,0.028752834,0.003628118,0.000453515,0.001088435,,,,0.003718821,0.01324263,0.014421769,0.000362812,,0.000816327,0.000362812,,0.002811791,0.026122449,0.021496599,,,,0.000181406,,,0.079909297,0.076190476,0.003174603,,,0.000816327,0.001632653,0.000453515,,0.018049887,0.215328798,0.018866213,0.049886621,0.003537415,0.026938776,0.002086168,0.001179138,0.000907029,,0.026031746,0.112834467,0.066213152,0.086439909,0.049070295,0.007256236,0.000997732,0.011519274,,,,,0.078820862,0.108117914,0.097959184,0.158639456,0.092879819,0.015238095,0.009795918,,0.000272109,0.002630385,,,0.017052154,0.024126984,0.177052154,0.160544218,0.171791383,0.037006803,0.02276644,0.026666667,,0.000544218,,9.07E-05,0.008979592,,0.001632653,0.119727891,0.186031746,0.128888889,0.108571429,0.05478458,0.028752834,0.009070295,0.011428571,,0.006258503,0.009614512,0.008979592,0.005170068,0.099319728,0.154285714,0.13723356,0.047165533,0.027120181,0.010975057,0.002721088,0.005986395,0.010068027,0.01569161,0.010249433,0.015600907,0.055873016,0.214240363,0.214693878,0.184217687,0.046349206,0.029387755,0.046258503,0.009342404,,0.006439909,0.048888889,0.148662132,0.299229025,0.479365079,0.348117914,0.159455782,0.071292517,0.009886621,,0.006439909,0.102947846,0.143673469,0.369977324,0.565895692,0.523174603,0.11845805,0.045714286,0.001360544,0.030748299,0.152380952,0.198820862,0.317278912,0.134240363,0.053605442,,,,0.017505669,0.00861678,0.006077098,
CPc.v.vl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000907029,,,,,,,,,,,,0.04707483,0.024126984,,,,,,,,,,0.007709751,0.054965986,0.115192744,0.017868481,0.009886621,,,,,,,,0.000725624,0.099138322,0.125442177,0.083174603,0.093786848,0.008253968,0.001632653,,,,,,,0.065396825,0.071292517,0.068571429,0.190839002,0.09106576,0.01324263,0.011337868,0.006802721,,0.003356009,,,0.079909297,0.350113379,0.247891156,0.088253968,0.190385488,0.066575964,,,0.00244898,0.005079365,0.011882086,,0.367528345,0.652335601,0.598276644,0.60952381,0.152290249,0.006349206,0.000362812,0.011337868,,,,0.45414966,0.681269841,0.67845805,0.314376417,0.010340136,0.001632653,,,,0.239274376,0.46739229,0.314920635,0.062312925,0.008253968,,,,9.07E-05,0.005442177,0.006530612,0.001269841,
CPc.v.vm,,0.005442177,,,,,,0.012517007,0.0430839,0.021496599,0.004081633,,,,0.056054422,0.071927438,0.028117914,0.000907029,0.000272109,,,,0.000544218,0.123809524,0.055782313,0.023129252,0.001995465,0.001269841,,,,0.070385488,0.08707483,0.031473923,0.033378685,0.000907029,,,,,0.094512472,0.173333333,0.093696145,0.011972789,0.008344671,0.004897959,9.07E-05,0.017868481,,,0.014512472,0.278367347,0.193378685,0.038367347,0.016507937,0.009070295,0.000453515,,,,,0.027845805,0.280362812,0.212154195,0.147120181,0.032743764,0.000272109,,,0.004081633,,,,0.011882086,0.230022676,0.354648526,0.140136054,0.051882086,0.026213152,9.07E-05,0.005260771,,,,,,0.042993197,0.149387755,0.192471655,0.061678005,0.015963719,0.025941043,0.001723356,0.001360544,0.001451247,,,,0.021315193,0.0769161,0.052335601,0.072108844,0.055147392,9.07E-05,0.002176871,0.004535147,,0.001360544,,,0.002267574,0.032108844,0.012426304,0.036371882,0.074739229,0.010702948,0.005895692,,0.003628118,,,,0.020680272,0.008526077,0.009433107,0.010430839,0.026303855,0.009705215,0.000272109,,,,,0.024489796,0.008526077,0.008707483,0.009160998,0.00244898,,,,9.07E-05,0.008163265,0.003900227,,,,,,,,,,,
CPi.dl.d(tr),,,,,,,,,,,,0.001723356,0.000181406,,,,,,,,0.004172336,0.005170068,,,,,,,0.009342404,0.010068027,0.001632653,,,,,,,0.004353741,0.010068027,0.02031746,,,,,,0.000725624,0.004988662,0.020770975,0.124988662,0.1138322,,,,,,0.001904762,0.016961451,0.022040816,0.094512472,0.153015873,0.03537415,,,,,0.000272109,0.003809524,0.015419501,0.02276644,0.052426304,0.154195011,0.115736961,0.000725624,,,,,0.006349206,0.007165533,0.0430839,0.04861678,0.140770975,0.109387755,0.168435374,0.061950113,,,,,0.000181406,0.006712018,0.011972789,0.089342404,0.204716553,0.227755102,0.096235828,0.052789116,0.003446712,,,,,0.013877551,0.010702948,0.01723356,0.088344671,0.164353741,0.123809524,0.026303855,0.01478458,,,,,0.009886621,0.006258503,0.020045351,0.07845805,0.108843537,0.107301587,0.048707483,0.025759637,,,,9.07E-05,0.011156463,0.007165533,0.01723356,0.01877551,0.045895692,0.000907029,0.001632653,,,,0.000272109,0.005804989,0.004897959,0.021768707,0.007528345,0.007346939,,,,,0.009795918,0.003718821,0.000181406,,,,,,
